New Kent Road;51.49421;-0.091532
New Kent Road;51.494736;-0.097311
Green Lanes;51.557227;-0.090337
Green Lanes;51.564889;-0.092955
Green Lanes;51.572225;-0.09686
Green Lanes;51.579101;-0.099027
Green Lanes;51.586728;-0.100873
Tabard Street;51.499155;-0.090498
Tabard Street;51.497071;-0.088202
Queen Street   ;51.512915;-0.092464
Great Dover Street;51.499602;-0.092021
Great Dover Street;51.496216;-0.088148
Denmark Hill;51.461339;-0.092053
Denmark Hill;51.46678;-0.090508
Denmark Hill;51.471284;-0.092998
Borough High Street;51.49865;-0.097718
Borough High Street;51.502839;-0.09204
Spring Gardens;51.549026;-0.093938
Herne Hill;51.456053;-0.097537
Herne Hill;51.459052;-0.094607
Bread Street;51.514045;-0.094504
Cripplegate Street;51.520912;-0.094786
Red Cross Street;51.502335;-0.094869
Queenhithe;51.510964;-0.095093
Union Street   ;51.503799;-0.098098
Union Street   ;51.503656;-0.103072
Southwark Bridge Road;51.50512;-0.095599
Gresham Street;51.515553;-0.093952
Gresham Street;51.515041;-0.091774
Marshalsea Road;51.502615;-0.095809
Cannon Street;51.512498;-0.094317
Cannon Street;51.511494;-0.089865
Mint Street;51.50216;-0.096554
Aldersgate Street;51.517205;-0.096829
Bank junction;51.53224;-0.097044
Lant Street;51.50154;-0.097244
Borough Road;51.499235;-0.097319
Newington Causeway;51.498684;-0.097502
Paternoster Row;51.514575;-0.097534
Goswell Road;51.528736;-0.101119
Goswell Road;51.525674;-0.099821
Goswell Road;51.522728;-0.097793
Cheapside;51.514278;-0.095272
Cheapside;51.513739;-0.091951
Gillespie Road;51.56058;-0.098864
Little Britain   ;51.517955;-0.099414
Cloth Fair;51.519075;-0.099639
Walworth Road;51.491182;-0.097557
Walworth Road;51.486813;-0.094961
Charterhouse Street;51.520205;-0.099934
Amen Corner;51.51447;-0.100949
Newington Butts;51.492725;-0.101139
Giltspur Street;51.516315;-0.101904
Puddle Dock;51.511445;-0.102318
Ludgate Hill;51.514;-0.102614
Upper Street;51.544165;-0.103329
Upper Street;51.539668;-0.102498
Upper Street;51.534622;-0.104789
Blackstock Road;51.562777;-0.101377
Blackstock Road;51.560064;-0.098598
Camden Passage;51.53471;-0.104344
St George s Circus;51.498464;-0.104396
Blackfriars Road;51.499531;-0.104638
Blackfriars Road;51.503106;-0.104606
Blackfriars Road;51.506357;-0.104424
Ludgate Circus;51.514165;-0.104544
The Cut   ;51.503616;-0.104984
Fleet Street;51.51417;-0.105104
Westminster Bridge Road;51.498598;-0.105115
Lambeth Road;51.49547;-0.115453
Lambeth Road;51.496619;-0.110904
Knight s Hill;51.424693;-0.105282
Knight s Hill;51.429344;-0.104306
Holborn Viaduct;51.517586;-0.106248
St Agnes Place;51.484751;-0.106368
Tulse Hill;51.44102;-0.106434
Stamford Street;51.505833;-0.111092
Stamford Street;51.50718;-0.106709
Bleeding Heart Yard;51.519275;-0.106909
Ely Place;51.518355;-0.107019
Chapel Market;51.53361;-0.10728
Saffron Hill;51.5211;-0.107324
Mayall Road;51.458475;-0.107849
Bouverie Street;51.51276;-0.107959
Exmouth Market;51.526402;-0.108081
Pleydell Street;51.513935;-0.108119
King s Bench Walk;51.512545;-0.108174
Hatton Garden;51.521816;-0.109116
Railton Road;51.458769;-0.10945
Railton Road;51.45694;-0.106634
Railton Road;51.454404;-0.103614
Bakers Row;51.523705;-0.109987
Baylis Road;51.50196;-0.110275
Lower Marsh;51.50159;-0.111039
Kennington Road;51.495876;-0.111086
Kennington Road;51.491457;-0.111088
Kennington Road;51.485891;-0.111333
