town;type;key;lat;lon;tags
berlin;toilet;302805945;52.484592;13.385554;"{""name"":""City Toilette"",""wheelchair"":""yes""}"
berlin;toilet;304575905;52.516376;13.375523;"{""name"":""City Toilette"",""wheelchair"":""yes"",""fee"":""yes""}"
berlin;toilet;308003239;52.506500;13.227692;"{""wheelchair"":""no""}"
berlin;toilet;308611347;52.548630;13.420882;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;308809962;52.550667;13.413489;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;309334321;52.417614;13.304842;"{""name"":""City Toilette"",""wheelchair"":""yes""}"
berlin;toilet;309363218;52.494022;13.325086;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;309371016;52.501492;13.317329;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;310022911;52.545784;13.427534;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;310354965;52.543011;13.412010;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;310570379;52.589111;13.272575;"{""name"":""2x City Toilette"",""wheelchair"":""yes""}"
berlin;toilet;310612133;52.589855;13.282790;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;310665969;52.503426;13.330873;"{""name"":""\u00d6ffentliche Toiletten"",""wheelchair"":""no""}"
berlin;toilet;311083145;52.495323;13.299377;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;311161398;52.545536;13.355636;"{""name"":""WC Herren"",""wheelchair"":""no""}"
berlin;toilet;311161400;52.545479;13.355717;"{""name"":""WC Damen"",""wheelchair"":""no""}"
berlin;toilet;311161404;52.545307;13.355146;"{""name"":""WC Herren"",""wheelchair"":""no""}"
berlin;toilet;311161409;52.545250;13.355224;"{""name"":""WC Damen"",""wheelchair"":""no""}"
berlin;toilet;311161410;52.545052;13.354651;"{""name"":""WC Herren""}"
berlin;toilet;311161411;52.544998;13.354724;"{""name"":""WC Damen"",""wheelchair"":""no""}"
berlin;toilet;311161412;52.544746;13.355063;"{""name"":""WC Herren"",""wheelchair"":""yes""}"
berlin;toilet;311161413;52.544659;13.355182;"{""name"":""WC Damen""}"
berlin;toilet;311580179;52.543598;13.351224;"{""wheelchair"":""yes"",""operator"":""TFH-Berlin"",""fee"":""no""}"
berlin;toilet;311644392;52.430817;13.309507;"{""name"":""City Toilette"",""wheelchair"":""yes""}"
berlin;toilet;312476072;52.519966;13.461077;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""no""}"
berlin;toilet;312955941;52.475784;13.290380;"{""name"":""City Toilette"",""wheelchair"":""yes"",""fee"":""yes""}"
berlin;toilet;315361412;52.459225;13.355690;"{""name"":""City Toilette"",""wheelchair"":""yes"",""fee"":""yes""}"
berlin;toilet;315792825;52.497166;13.322382;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;315896534;52.525299;13.231113;[]
berlin;toilet;317179422;52.546967;13.358536;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;317389489;52.551052;13.430442;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;322867182;52.585411;13.253807;[]
berlin;toilet;333314104;52.477551;13.421898;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;333944057;52.559868;13.413512;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;337223385;52.535503;13.416986;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;337223695;52.546757;13.405408;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;343401150;52.550556;13.377991;"{""name"":""City Toilette"",""wheelchair"":""yes"",""fee"":""yes""}"
berlin;toilet;345555787;52.464638;13.513884;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;347422928;52.442551;13.312021;[]
berlin;toilet;349011829;52.505333;13.302788;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;349304086;52.505226;13.322765;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;353202022;52.488556;13.390900;"{""name"":""Historische Toilette (Caf\u00e9 Achteck)"",""wheelchair"":""no"",""fee"":""no""}"
berlin;toilet;364123000;52.386513;13.398467;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;365365513;52.473816;13.439537;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;365605621;52.527378;13.330581;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;369032628;52.550377;13.351631;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;371097628;52.413567;13.363172;"{""name"":""City Toilette"",""wheelchair"":""yes"",""fee"":""yes""}"
berlin;toilet;375879906;52.507202;13.332588;"{""name"":""\u00d6ffentliche Toilette"",""wheelchair"":""no""}"
berlin;toilet;377120370;52.516285;13.356798;"{""wheelchair"":""no"",""fee"":""no""}"
berlin;toilet;377675091;52.532459;13.412901;"{""name"":""Historische Toilette (Caf\u00e9 Achteck)"",""wheelchair"":""no"",""fee"":""no""}"
berlin;toilet;388125800;52.458878;13.579947;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;388591683;52.507900;13.463935;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;390428248;52.432491;13.408253;[]
berlin;toilet;401552930;52.507866;13.306674;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;405040172;52.505943;13.560903;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;405430472;52.543015;13.350155;"{""name"":""Damen WC"",""wheelchair"":""yes""}"
berlin;toilet;408469307;52.544453;13.352728;"{""name"":""Damen WC"",""wheelchair"":""limited""}"
berlin;toilet;408469602;52.544426;13.352779;"{""name"":""Herren WC"",""wheelchair"":""yes""}"
berlin;toilet;413653260;52.509602;13.338850;"{""wheelchair"":""yes""}"
berlin;toilet;413653263;52.506924;13.337965;"{""name"":""\u00d6ffentliche Toilette"",""wheelchair"":""no""}"
berlin;toilet;413653264;52.506855;13.342077;"{""wheelchair"":""yes""}"
berlin;toilet;416821723;52.423180;13.473554;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;419275395;52.512665;13.336686;"{""wheelchair"":""noexit"",""fee"":""no""}"
berlin;toilet;426687394;52.502415;13.342681;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;429461039;52.503014;13.484151;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;429578416;52.413662;13.574310;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;437290305;52.521461;13.412969;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;439239170;52.450657;13.624349;"{""wheelchair"":""no""}"
berlin;toilet;440072802;52.509567;13.435713;"{""name"":""Rail \u0026 Fresh WC"",""wheelchair"":""yes""}"
berlin;toilet;441257129;52.462326;13.544495;[]
berlin;toilet;441257192;52.462185;13.546485;[]
berlin;toilet;441257332;52.462616;13.546485;"{""wheelchair"":""yes""}"
berlin;toilet;442394347;52.444401;13.385754;"{""name"":""City Toilete"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;442397976;52.466133;13.436753;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;446782658;52.472153;13.261868;[]
berlin;toilet;448443039;52.530975;13.470620;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;448809595;52.471741;13.441638;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;448809919;52.473686;13.440940;[]
berlin;toilet;449372452;52.471836;13.266102;[]
berlin;toilet;450310345;52.481052;13.526633;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;450573181;52.561844;13.237315;[]
berlin;toilet;451759262;52.442505;13.240187;"{""name"":""City Toilette"",""wheelchair"":""yes"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;459280620;52.474110;13.445437;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;469165335;52.433411;13.419281;"{""fee"":""no""}"
berlin;toilet;477427675;52.469887;13.181491;"{""fee"":""no""}"
berlin;toilet;477529798;52.505573;13.374301;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall"",""fee"":""yes""}"
berlin;toilet;477532020;52.500008;13.430348;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall"",""fee"":""yes""}"
berlin;toilet;480350451;52.498890;13.527064;"{""wheelchair"":""yes""}"
berlin;toilet;480350454;52.499657;13.530656;"{""wheelchair"":""yes""}"
berlin;toilet;480350456;52.501682;13.532566;"{""wheelchair"":""yes""}"
berlin;toilet;480350458;52.504765;13.529375;"{""wheelchair"":""unknown""}"
berlin;toilet;480350479;52.507732;13.532193;"{""wheelchair"":""yes""}"
berlin;toilet;485950613;52.510956;13.499917;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;487067546;52.521236;13.441941;"{""wheelchair"":""yes""}"
berlin;toilet;490178984;52.489571;13.234628;[]
berlin;toilet;492080874;52.544243;13.549429;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;500002022;52.511234;13.469124;"{""name"":""City Toilette"",""note"":""usage 50 cent"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;502569266;52.482853;13.438214;[]
berlin;toilet;503360841;52.455620;13.302147;[]
berlin;toilet;503360880;52.452606;13.303105;[]
berlin;toilet;506836884;52.429329;13.129357;"{""wheelchair"":""no"",""fee"":""no""}"
berlin;toilet;506836885;52.432446;13.143145;"{""wheelchair"":""no"",""fee"":""no""}"
berlin;toilet;515660597;52.490337;13.457267;"{""wheelchair"":""yes""}"
berlin;toilet;520248239;52.505230;13.333875;"{""name"":""City Pissoir"",""wheelchair"":""no""}"
berlin;toilet;522533991;52.471222;13.386862;"{""name"":""\u00d6ffentliche Toilette"",""wheelchair"":""yes"",""fee"":""no""}"
berlin;toilet;530510700;52.513157;13.476953;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;539477774;52.468880;13.526487;"{""operator"":""Modellpark Berlin-Brandenburg""}"
berlin;toilet;539506614;52.521336;13.163236;"{""name"":""\u00d6ffentliche Toilette"",""wheelchair"":""yes"",""fee"":""no""}"
berlin;toilet;558361430;52.533195;13.336683;"{""note"":""Caf\u00e9 Achteck""}"
berlin;toilet;559576305;52.512299;13.253659;[]
berlin;toilet;559615852;52.535831;13.601056;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;559615853;52.539394;13.604709;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;560336667;52.482590;13.601140;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;566352589;52.513027;13.243552;"{""name"":""City Toilette"",""wheelchair"":""yes"",""fee"":""yes""}"
berlin;toilet;566352601;52.512115;13.240747;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;567869854;52.458595;13.526667;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;568322284;52.545586;13.494260;"{""name"":""Citytoilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
